Age,Gender,Weight_kg,Height_cm,BMI,Sleep_hrs,Activity_Level,Water_Intake_L,Protein_g,Carbs_g,Fat_g,Fitness_Goal,Calories_kcal,Estimated_Maintenance_Calories,Caloric_Surplus_or_Deficit
36,Female,61.8,165.3,22.6,8.1,Sedentary,3.19,99,263,54,Muscle Gain,1931,1572.15,358.85000000000014
27,Female,56.6,171.4,19.28,5.9,Moderate,3.38,91,328,62,Muscle Gain,2231,2078.9375,152.0625
31,Female,75.6,148.0,34.52,7.9,Moderate,2.61,91,299,58,Weight Loss,2079,2115.75,-36.75
48,Male,78.9,170.3,27.22,5.9,Active,3.16,95,430,78,Weight Loss,2799,2791.696875,7.303124999999909
36,Female,58.0,158.2,23.15,7.0,Moderate,2.47,70,301,55,Maintenance,1977,1903.0125,73.98749999999995
40,Male,66.8,171.7,22.66,6.3,Moderate,2.81,107,377,72,Muscle Gain,2579,2396.49375,182.5062499999999
53,Male,68.8,176.4,22.14,6.2,Moderate,2.21,110,386,74,Muscle Gain,2648,2372.275,275.7249999999999
62,Male,60.0,173.1,20.02,7.6,Moderate,2.89,72,312,57,Maintenance,2046,2134.15625,-88.15625
23,Female,70.4,156.5,28.74,10.1,Active,1.63,84,467,82,Maintenance,2942,2425.565625,516.4343749999998
58,Male,73.4,170.8,25.16,7.2,Sedentary,2.46,88,275,54,Maintenance,1937,1819.8,117.20000000000005
45,Male,78.5,178.2,24.71,7.7,Sedentary,2.42,94,294,58,Maintenance,2072,2014.5,57.5
41,Male,75.9,171.8,25.72,8.0,Sedentary,2.83,91,285,56,Maintenance,2004,1959.3,44.700000000000045
32,Male,65.4,172.9,21.87,6.1,Moderate,2.73,105,370,70,Muscle Gain,2530,2448.4187500000003,81.58124999999973
27,Female,54.5,154.3,22.88,6.9,Moderate,2.81,87,317,60,Muscle Gain,2158,1880.73125,277.26874999999995
27,Female,70.9,164.6,26.16,7.4,Sedentary,3.24,113,294,60,Muscle Gain,2171,1730.1,440.9000000000001
41,Female,46.9,147.5,21.54,8.2,Moderate,2.54,56,243,44,Maintenance,1599,1588.55625,10.443749999999907
56,Male,67.5,171.8,22.87,7.3,Moderate,2.45,108,380,72,Muscle Gain,2601,2284.3125,316.6875
46,Male,88.1,172.9,29.48,6.6,Sedentary,3.36,106,237,51,Weight Loss,1827,2083.95,-256.9499999999998
36,Female,58.5,163.1,21.99,7.0,Moderate,2.52,70,210,42,Weight Loss,1495,1958.23125,-463.2312500000001
33,Male,79.0,166.9,28.34,5.2,Active,2.17,95,524,92,Maintenance,3302,2886.140625,415.859375
63,Female,63.1,165.7,22.99,8.6,Moderate,3.36,76,234,46,Weight Loss,1652,1845.46875,-193.46875
54,Female,63.9,161.6,24.48,8.5,Moderate,3.0,77,332,61,Maintenance,2180,1887.9,292.0999999999999
34,Female,60.4,171.5,20.55,6.4,Moderate,2.72,73,314,57,Maintenance,2061,2084.55625,-23.55625000000009
30,Male,83.6,171.2,28.53,7.6,Moderate,1.92,100,434,79,Maintenance,2851,2729.55,121.44999999999982
53,Female,72.4,158.7,28.73,7.8,Moderate,2.77,87,282,55,Weight Loss,1967,1999.30625,-32.30625000000009
32,Male,88.1,163.3,33.01,8.2,Sedentary,2.46,106,330,65,Maintenance,2325,2095.95,229.05000000000015
56,Male,80.6,177.8,25.51,8.0,Sedentary,2.86,129,326,67,Muscle Gain,2428,1970.7,457.3000000000002
37,Male,69.2,179.7,21.44,7.1,Moderate,2.31,111,388,74,Muscle Gain,2660,2534.44375,125.55625000000008
22,Female,63.3,159.5,24.86,6.5,Active,2.6,76,326,60,Weight Loss,2145,2344.0593750000003,-199.05937500000027
33,Male,92.9,180.8,28.4,7.1,Sedentary,2.63,149,367,76,Muscle Gain,2752,2278.8,473.2000000000003
48,Female,58.4,151.2,25.54,6.2,Moderate,2.35,70,303,55,Maintenance,1991,1748.4,242.5999999999999
63,Male,70.8,173.1,23.63,7.4,Sedentary,1.74,85,172,38,Weight Loss,1370,1775.85,-405.8499999999999
21,Female,80.7,153.9,34.09,8.9,Active,2.24,97,442,80,Weight Loss,2874,2592.459375,281.5406250000001
44,Male,73.3,173.8,24.28,7.6,Moderate,2.49,88,381,69,Maintenance,2501,2486.5875,14.412499999999907
36,Female,48.1,153.5,20.41,7.4,Sedentary,2.01,77,217,44,Muscle Gain,1569,1319.25,249.75
40,Male,82.0,174.3,27.0,7.6,Moderate,2.58,131,449,86,Muscle Gain,3096,2657.28125,438.71875
56,Female,70.0,157.6,28.18,6.3,Moderate,1.84,84,364,66,Maintenance,2388,1928.2,459.8
62,Female,77.2,158.3,30.81,7.3,Moderate,2.46,93,401,73,Maintenance,2634,2000.08125,633.91875
42,Male,80.3,192.3,21.72,6.0,Moderate,1.63,96,324,62,Weight Loss,2240,2789.80625,-549.8062500000001
57,Female,64.4,167.4,22.98,6.7,Active,1.86,77,334,61,Weight Loss,2192,2146.33125,45.66874999999982
61,Male,82.4,175.8,26.66,7.8,Sedentary,2.29,99,309,60,Maintenance,2176,1947.3,228.70000000000005
43,Female,51.1,162.4,19.37,7.5,Moderate,2.16,82,301,57,Muscle Gain,2041,1782.5,258.5
49,Male,62.1,165.1,22.8,7.6,Sedentary,2.33,75,139,32,Weight Loss,1140,1695.45,-555.45
43,Male,59.5,187.3,16.95,7.7,Moderate,2.24,71,309,56,Maintenance,2029,2411.21875,-382.21875
21,Female,48.2,167.6,17.18,7.3,Active,3.39,58,320,56,Maintenance,2017,2179.5375,-162.5374999999999
31,Female,62.8,169.0,22.02,6.2,Sedentary,2.97,75,236,46,Maintenance,1659,1641.9,17.100000000000136
57,Male,76.1,185.9,22.02,7.3,Moderate,2.41,122,421,80,Muscle Gain,2896,2546.45625,349.5437499999998
23,Male,89.5,178.9,27.95,6.0,Sedentary,2.16,107,336,66,Maintenance,2363,2283.75,79.25
57,Male,79.9,167.7,28.42,9.1,Active,2.79,96,530,93,Maintenance,3340,2703.290625,636.7093749999999
26,Male,75.0,173.9,24.8,7.4,Moderate,1.71,90,390,71,Maintenance,2558,2653.40625,-95.40625
56,Female,59.0,157.7,23.7,6.8,Active,3.34,71,391,68,Maintenance,2465,1957.228125,507.7718749999999
20,Female,69.4,164.0,25.79,6.1,Moderate,2.06,111,389,74,Muscle Gain,2665,2259.9,405.0999999999999
46,Male,62.7,184.4,18.46,6.2,Moderate,3.25,75,326,59,Maintenance,2140,2409.475,-269.4749999999999
31,Female,46.9,162.6,17.77,6.4,Active,2.06,75,349,63,Muscle Gain,2262,2016.95625,245.04374999999985
42,Male,87.8,177.3,27.94,6.3,Sedentary,2.0,105,329,64,Maintenance,2317,2137.35,179.6500000000001
45,Male,72.6,188.3,20.46,5.9,Sedentary,3.12,87,272,53,Maintenance,1916,2019.45,-103.44999999999982
59,Male,81.6,188.3,23.0,6.7,Moderate,2.2,131,447,86,Muscle Gain,3082,2639.45625,442.5437499999998
34,Male,73.0,167.8,25.93,8.5,Sedentary,2.28,117,301,62,Muscle Gain,2228,1936.5,291.5
18,Female,54.1,172.2,18.25,8.7,Sedentary,3.08,65,203,40,Maintenance,1429,1639.5,-210.5
36,Male,87.1,181.3,26.5,6.9,Sedentary,1.82,105,327,64,Maintenance,2300,2194.95,105.05000000000018
18,Male,79.7,163.3,29.88,7.9,Active,0.94,128,553,101,Muscle Gain,3631,2988.7781250000003,642.2218749999997
31,Male,81.9,176.5,26.28,9.4,Active,1.79,98,450,81,Weight Loss,2922,3056.915625,-134.9156250000001
44,Female,59.8,163.1,22.49,4.2,Active,2.91,72,397,69,Maintenance,2501,2132.7468750000003,368.2531249999997
33,Male,74.8,175.4,24.32,6.6,Moderate,2.47,90,295,57,Weight Loss,2051,2610.5875,-559.5875000000001
64,Male,103.5,186.2,29.85,6.2,Moderate,1.74,124,537,98,Maintenance,3529,2919.8125,609.1875
39,Female,58.9,152.7,25.28,6.1,Moderate,3.15,71,306,56,Maintenance,2010,1840.43125,169.5687499999999
39,Male,91.8,179.4,28.51,6.0,Active,2.92,147,629,115,Muscle Gain,4136,3189.95625,946.0437499999998
19,Male,81.2,163.1,30.5,7.6,Active,1.37,97,445,80,Weight Loss,2893,3003.8718750000003,-110.87187500000029
38,Male,82.9,189.3,23.14,7.3,Moderate,3.45,100,431,79,Maintenance,2828,2832.0437500000003,-4.043750000000273
42,Female,51.3,170.3,17.68,6.4,Active,2.79,82,376,68,Muscle Gain,2442,2080.9968750000003,361.0031249999997
60,Female,63.4,161.2,24.4,8.0,Sedentary,2.06,76,144,33,Weight Loss,1173,1416.6,-243.5999999999999
41,Male,61.0,175.4,19.83,6.7,Moderate,2.18,98,349,66,Muscle Gain,2380,2334.6875,45.3125
40,Male,87.7,170.1,30.33,6.6,Moderate,2.26,105,456,83,Maintenance,2992,2704.94375,287.0562500000001
34,Male,91.7,172.5,30.8,7.0,Moderate,2.29,110,476,87,Maintenance,3126,2836.69375,289.3062500000001
34,Male,88.6,169.4,30.87,6.1,Moderate,2.43,106,460,84,Maintenance,3022,2758.6125,263.3874999999998
18,Male,49.7,174.6,16.29,6.5,Sedentary,2.9,60,92,23,Weight Loss,811,1803.9,-992.9
48,Male,70.7,178.2,22.28,6.8,Moderate,3.19,85,273,53,Weight Loss,1911,2457.9125,-546.9124999999999
57,Male,77.7,164.9,28.6,7.4,Sedentary,2.68,93,198,43,Weight Loss,1553,1833.15,-280.14999999999986
24,Male,70.3,180.8,21.52,7.5,Moderate,2.63,84,365,67,Maintenance,2399,2662.9,-263.9000000000001
43,Female,59.3,165.5,21.66,8.4,Sedentary,2.43,71,222,43,Maintenance,1565,1501.65,63.350000000000136
35,Male,70.8,192.6,19.08,5.9,Moderate,2.78,113,396,75,Muscle Gain,2714,2699.7125,14.287499999999907
51,Female,62.7,171.9,21.24,5.4,Moderate,3.02,75,232,46,Weight Loss,1639,1992.33125,-353.33124999999995
40,Male,87.7,174.3,28.86,5.6,Active,2.36,105,582,102,Maintenance,3664,3055.6218750000003,608.3781249999997
18,Female,73.0,164.4,27.02,6.6,Moderate,2.2,88,379,69,Maintenance,2489,2335.0750000000003,153.92499999999973
47,Female,71.8,155.4,29.72,7.4,Moderate,3.86,115,400,76,Muscle Gain,2747,2004.5375,742.4624999999999
22,Female,40.0,158.3,15.95,8.7,Sedentary,1.73,48,56,15,Weight Loss,556,1342.05,-786.05
36,Male,90.2,162.9,33.99,7.8,Sedentary,2.21,108,338,66,Maintenance,2382,2094.15,287.8499999999999
36,Male,76.1,172.9,25.44,7.5,Moderate,2.59,122,421,80,Muscle Gain,2894,2583.26875,310.7312499999998
43,Female,58.5,162.0,22.31,5.7,Moderate,1.99,70,304,55,Maintenance,1996,1893.325,102.67499999999995
47,Female,57.9,168.1,20.48,5.5,Active,2.87,93,417,76,Muscle Gain,2718,2128.003125,589.9968749999998
36,Female,58.8,161.8,22.44,7.5,Active,2.03,71,390,68,Maintenance,2457,2170.4812500000003,286.5187499999997
57,Male,69.0,177.8,21.83,8.3,Active,3.22,83,458,80,Maintenance,2883,2624.15625,258.84375
18,Female,62.1,153.3,26.43,8.7,Active,2.89,75,318,58,Weight Loss,2096,2291.015625,-195.015625
55,Female,52.2,157.6,21.03,6.0,Moderate,2.73,63,271,49,Maintenance,1782,1660.05,121.95000000000005
58,Male,86.4,169.8,29.98,6.3,Sedentary,3.04,104,230,49,Weight Loss,1781,1968.3,-187.29999999999995
29,Male,70.4,169.4,24.51,6.7,Sedentary,2.86,113,292,60,Muscle Gain,2158,1947.3,210.70000000000005
51,Female,66.3,166.8,23.82,7.0,Active,2.49,106,470,85,Muscle Gain,3072,2224.3875000000003,847.6124999999997
24,Male,75.1,169.1,26.25,9.0,Sedentary,2.43,90,282,55,Maintenance,1982,2031.45,-49.44999999999982
49,Male,69.6,162.6,26.33,5.0,Sedentary,2.9,111,290,59,Muscle Gain,2138,1766.7,371.3
19,Male,84.0,170.1,29.04,4.5,Moderate,3.17,101,342,66,Weight Loss,2364,2810.34375,-446.34375
50,Female,59.1,169.6,20.55,5.2,Moderate,2.38,71,213,42,Weight Loss,1515,1922.0,-407.0
42,Female,70.9,171.1,24.23,6.8,Moderate,3.51,85,275,53,Weight Loss,1919,2181.43125,-262.4312500000001
23,Male,83.5,173.3,27.8,6.2,Moderate,2.82,100,340,65,Weight Loss,2348,2802.59375,-454.59375
61,Female,66.9,176.5,21.47,7.0,Sedentary,2.59,107,280,57,Muscle Gain,2065,1567.35,497.6500000000001
55,Female,62.1,154.2,26.1,6.5,Sedentary,2.74,74,139,32,Weight Loss,1139,1378.5,-239.5
54,Male,85.8,173.9,28.36,9.1,Active,2.6,103,569,100,Maintenance,3584,2897.784375,686.2156249999998
45,Female,64.9,163.2,24.37,7.0,Sedentary,2.56,78,150,34,Weight Loss,1214,1539.6,-325.5999999999999
26,Male,107.4,174.9,35.09,7.2,Moderate,2.04,172,571,110,Muscle Gain,3962,3165.2937500000003,796.7062499999997
31,Female,72.5,155.7,29.91,7.5,Moderate,2.05,87,377,69,Maintenance,2473,2142.2937500000003,330.7062499999997
53,Female,73.8,170.4,25.42,7.7,Sedentary,1.46,118,304,62,Muscle Gain,2249,1652.4,596.6000000000001
52,Female,56.9,164.1,21.13,7.9,Moderate,2.38,68,202,40,Weight Loss,1440,1819.11875,-379.1187500000001
21,Female,65.5,164.0,24.33,6.3,Active,2.52,79,435,76,Maintenance,2737,2439.15,297.8499999999999
54,Male,73.8,174.9,24.12,7.7,Moderate,2.11,118,410,78,Muscle Gain,2815,2427.49375,387.5062499999999
44,Female,63.0,161.9,24.05,7.0,Moderate,2.51,101,358,68,Muscle Gain,2449,1954.35625,494.64375
28,Male,82.9,163.6,30.97,5.3,Sedentary,1.9,99,217,47,Weight Loss,1688,2059.8,-371.7999999999997
26,Male,74.7,175.7,24.18,6.2,Moderate,2.14,90,294,57,Weight Loss,2047,2666.19375,-619.1937499999999
60,Female,66.4,156.0,27.3,5.6,Active,2.53,80,347,63,Weight Loss,2277,2032.05,244.94999999999985
62,Male,68.7,171.6,23.33,6.7,Active,0.85,82,456,80,Maintenance,2872,2509.0125000000003,362.9874999999997
26,Male,59.5,184.8,17.41,8.0,Moderate,2.61,95,341,65,Muscle Gain,2327,2518.75,-191.75
40,Female,60.1,167.9,21.32,5.8,Moderate,2.09,72,219,43,Weight Loss,1550,1998.53125,-448.53125
27,Male,70.6,176.3,22.71,6.5,Moderate,2.61,113,395,75,Muscle Gain,2707,2600.70625,106.29374999999982
30,Male,83.2,176.8,26.63,5.7,Sedentary,2.8,100,312,61,Maintenance,2197,2150.4,46.59999999999991
51,Male,78.1,185.9,22.59,7.6,Moderate,3.06,125,431,82,Muscle Gain,2964,2623.95625,340.0437499999998
54,Female,54.7,151.8,23.72,7.4,Moderate,2.61,66,190,38,Weight Loss,1364,1650.3625,-286.36249999999995
29,Male,91.0,182.8,27.25,4.9,Active,3.21,109,510,92,Weight Loss,3305,3299.0625,5.9375
43,Female,56.6,171.2,19.32,8.8,Moderate,2.14,91,328,62,Muscle Gain,2231,1953.0,278.0
58,Female,69.5,165.0,25.51,7.5,Active,2.48,83,367,67,Weight Loss,2404,2199.80625,204.1937499999999
52,Male,78.7,171.2,26.86,8.5,Moderate,1.92,94,409,75,Maintenance,2684,2483.1,200.9000000000001
32,Female,56.9,166.1,20.62,6.1,Sedentary,2.88,91,247,50,Muscle Gain,1802,1543.35,258.6500000000001
30,Male,70.1,171.9,23.72,8.0,Active,2.11,84,465,81,Maintenance,2931,2812.3968750000004,118.60312499999964
47,Female,63.5,154.7,26.52,5.6,Active,3.01,102,452,82,Muscle Gain,2954,2080.134375,873.8656249999999
43,Male,71.9,174.6,23.59,7.7,Sedentary,1.81,86,270,53,Maintenance,1899,1920.3,-21.299999999999955
35,Male,67.4,166.3,24.34,4.8,Sedentary,2.12,81,159,36,Weight Loss,1278,1852.05,-574.05
59,Male,88.9,181.0,27.14,7.0,Sedentary,2.13,142,354,74,Muscle Gain,2648,2076.3,571.7000000000003
56,Female,67.1,160.4,26.09,7.4,Sedentary,2.53,107,281,58,Muscle Gain,2072,1479.0,593.0
27,Female,71.3,165.0,26.18,9.0,Moderate,3.41,86,370,68,Maintenance,2430,2244.7875,185.2125000000001
57,Female,62.3,171.3,21.22,5.8,Active,2.48,75,320,58,Weight Loss,2103,2152.1531250000003,-49.15312500000027
55,Male,64.1,176.5,20.59,6.9,Sedentary,3.14,103,271,55,Muscle Gain,1993,1768.95,224.04999999999995
28,Male,92.2,177.3,29.32,7.1,Sedentary,3.0,111,346,68,Maintenance,2433,2274.15,158.8499999999999
50,Male,80.8,168.9,28.32,4.9,Moderate,1.96,129,444,85,Muscle Gain,3057,2508.86875,548.1312499999999
29,Male,80.2,164.5,29.65,5.6,Active,2.38,128,556,101,Muscle Gain,3652,2915.4656250000003,736.5343749999997
64,Female,50.8,160.9,19.61,6.4,Moderate,1.76,81,300,56,Muscle Gain,2032,1600.56875,431.4312499999999
36,Male,67.0,180.6,20.55,6.9,Moderate,2.49,107,377,72,Muscle Gain,2585,2516.8125,68.1875
53,Female,54.9,172.8,18.38,8.0,Active,1.74,66,364,64,Maintenance,2295,2075.175,219.82499999999985
63,Male,63.9,177.5,20.28,7.0,Sedentary,2.47,77,146,33,Weight Loss,1187,1726.05,-539.05
56,Male,78.7,168.8,27.61,5.7,Moderate,2.15,94,315,61,Weight Loss,2183,2428.85,-245.8499999999999
19,Female,58.5,158.2,23.35,5.1,Moderate,1.75,70,210,41,Weight Loss,1493,2042.5125,-549.5125
23,Female,50.8,166.4,18.33,9.5,Active,2.37,61,243,45,Weight Loss,1622,2194.2000000000003,-572.2000000000003
32,Male,77.7,176.8,24.86,7.0,Moderate,2.64,93,404,74,Maintenance,2651,2676.85,-25.84999999999991
60,Female,72.1,165.0,26.49,8.7,Moderate,1.78,87,281,54,Weight Loss,1958,2001.4375,-43.4375
31,Female,54.9,154.6,22.96,7.3,Sedentary,2.06,66,112,26,Weight Loss,949,1439.1,-490.0999999999999
21,Female,67.3,149.9,29.96,8.1,Sedentary,3.27,81,252,49,Maintenance,1776,1612.65,163.35000000000014
52,Female,48.1,165.3,17.6,5.7,Active,2.76,58,225,42,Weight Loss,1509,1885.640625,-376.640625
35,Female,61.9,171.7,20.98,6.7,Sedentary,2.58,74,232,45,Maintenance,1633,1627.35,5.650000000000091
32,Male,76.7,166.3,27.72,5.4,Moderate,1.98,92,305,59,Weight Loss,2115,2559.63125,-444.6312499999999
51,Male,80.1,161.2,30.82,7.9,Active,2.75,96,532,93,Maintenance,3350,2688.4125000000004,661.5874999999996
41,Female,75.5,158.6,30.02,7.7,Moderate,2.25,91,392,72,Maintenance,2575,2139.3875000000003,435.6124999999997
31,Female,44.8,164.9,16.47,7.2,Sedentary,1.7,54,168,33,Maintenance,1182,1395.15,-213.14999999999984
60,Male,57.7,171.9,19.54,9.0,Moderate,1.75,69,300,55,Maintenance,1968,2102.38125,-134.3812499999999
52,Female,58.8,147.5,27.03,5.7,Moderate,3.19,71,212,42,Weight Loss,1506,1687.75625,-181.7562500000001
29,Male,72.2,167.7,25.67,8.4,Moderate,1.73,87,375,68,Maintenance,2461,2526.69375,-65.69374999999991
35,Male,73.0,169.6,25.36,6.2,Sedentary,1.75,117,301,62,Muscle Gain,2227,1944.0,283.0
62,Male,93.1,181.9,28.15,7.1,Sedentary,2.9,112,349,68,Maintenance,2459,2115.45,343.5500000000002
56,Female,67.7,158.0,27.11,6.3,Sedentary,2.62,81,160,36,Weight Loss,1287,1468.2,-181.20000000000005
41,Male,79.9,163.2,29.99,6.8,Active,2.75,96,530,93,Maintenance,3338,2792.775,545.2249999999999
23,Female,72.7,172.5,24.44,7.3,Sedentary,1.74,87,179,39,Weight Loss,1419,1834.95,-415.9500000000001
37,Male,65.5,176.4,21.05,8.0,Moderate,2.68,79,246,48,Weight Loss,1732,2445.125,-713.125
55,Female,61.1,166.0,22.18,7.2,Sedentary,2.77,73,135,31,Weight Loss,1114,1455.0,-341.0
29,Female,54.5,165.9,19.79,7.2,Moderate,2.72,65,283,52,Maintenance,1857,1977.60625,-120.60625000000005
26,Male,66.1,176.3,21.26,6.9,Sedentary,2.47,79,154,35,Weight Loss,1244,1965.45,-721.4499999999998
20,Male,74.1,181.7,22.44,7.4,Moderate,2.71,119,411,79,Muscle Gain,2827,2761.51875,65.48124999999982
25,Female,49.8,165.3,18.22,6.5,Moderate,2.75,60,165,33,Weight Loss,1197,1929.94375,-732.9437500000001
55,Male,80.7,177.5,25.62,7.1,Sedentary,2.87,97,209,45,Weight Loss,1632,1975.65,-343.64999999999986
58,Male,67.5,182.3,20.3,9.1,Sedentary,2.78,81,253,49,Maintenance,1782,1835.25,-53.25
62,Female,64.8,156.5,26.47,8.1,Moderate,2.65,78,337,61,Maintenance,2210,1790.44375,419.5562499999999
23,Female,50.6,169.4,17.64,7.5,Active,2.74,81,372,67,Muscle Gain,2415,2223.09375,191.90625
57,Male,66.2,185.8,19.18,6.4,Moderate,3.16,106,374,71,Muscle Gain,2558,2392.0375,165.9625000000001
37,Female,57.4,162.9,21.63,7.1,Moderate,2.7,69,205,41,Weight Loss,1459,1931.49375,-472.4937500000001
37,Male,85.6,182.8,25.61,6.5,Sedentary,2.62,137,343,71,Muscle Gain,2560,2182.2,377.8000000000002
45,Female,56.3,164.8,20.73,6.9,Moderate,1.99,90,326,62,Muscle Gain,2219,1870.85,348.14999999999986
49,Female,58.6,160.8,22.65,6.2,Sedentary,2.08,70,126,29,Weight Loss,1047,1422.0,-375.0
57,Male,76.9,169.4,26.79,8.2,Sedentary,3.35,92,288,56,Maintenance,2031,1857.3,173.70000000000005
43,Male,74.5,183.2,22.19,7.4,Active,3.46,89,401,73,Weight Loss,2613,2898.0,-285.0
41,Female,55.4,159.6,21.72,6.0,Sedentary,3.08,66,208,41,Maintenance,1461,1422.6,38.40000000000009
36,Female,69.2,161.2,26.65,6.3,Sedentary,2.75,83,166,37,Weight Loss,1327,1630.2,-303.20000000000005
62,Female,56.1,161.2,21.56,7.0,Moderate,2.27,67,197,39,Weight Loss,1412,1701.125,-289.125
41,Female,63.0,158.4,25.13,5.0,Active,2.68,101,449,82,Muscle Gain,2934,2163.15,770.8499999999999
35,Male,68.1,183.3,20.27,6.7,Active,1.91,82,452,79,Maintenance,2848,2857.6781250000004,-9.678125000000364
33,Female,68.1,160.7,26.37,9.0,Moderate,3.34,109,383,73,Muscle Gain,2623,2107.03125,515.96875
22,Female,65.9,163.8,24.54,7.3,Moderate,2.88,79,342,62,Maintenance,2246,2188.2125,57.78749999999991
56,Male,55.1,172.8,18.43,7.0,Moderate,3.15,88,320,60,Muscle Gain,2177,2101.8,75.19999999999982
25,Female,60.0,155.4,24.85,7.9,Moderate,3.26,72,218,43,Weight Loss,1547,1992.1375,-445.1375000000001
25,Male,71.8,169.5,25.0,5.1,Moderate,2.41,86,279,54,Weight Loss,1949,2568.93125,-619.9312500000001
34,Female,63.0,156.5,25.7,6.8,Sedentary,2.57,76,236,46,Maintenance,1663,1532.55,130.45000000000005
31,Male,67.5,186.0,19.52,7.9,Sedentary,2.63,81,159,36,Weight Loss,1283,2025.0,-742.0
59,Male,59.6,177.7,18.88,5.5,Moderate,2.81,72,216,43,Weight Loss,1533,2195.76875,-662.7687500000002
61,Male,81.0,169.9,28.08,6.7,Moderate,1.83,97,421,77,Maintenance,2763,2436.40625,326.59375
38,Male,86.9,171.1,29.7,6.5,Moderate,2.79,104,451,82,Maintenance,2964,2717.7312500000003,246.26874999999973
43,Female,66.3,158.8,26.26,6.7,Sedentary,2.77,106,278,57,Muscle Gain,2049,1535.4,513.6000000000001
57,Male,94.3,177.7,29.88,6.5,Moderate,3.31,113,490,89,Maintenance,3217,2749.11875,467.8812499999999
47,Male,83.5,171.8,28.26,6.9,Sedentary,2.37,100,219,47,Weight Loss,1703,2014.5,-311.5
35,Male,77.8,161.1,29.96,8.9,Sedentary,2.06,93,198,43,Weight Loss,1554,1937.85,-383.8499999999999
18,Female,63.2,164.6,23.35,5.3,Active,2.63,76,420,73,Maintenance,2643,2431.81875,211.1812500000001
48,Male,84.1,173.0,28.1,7.4,Active,1.7,101,558,98,Maintenance,3514,2910.5062500000004,603.4937499999996
43,Female,54.4,163.1,20.45,7.3,Moderate,1.84,65,283,52,Maintenance,1855,1840.43125,14.568749999999907
25,Female,69.4,165.6,25.3,7.7,Sedentary,3.64,83,166,37,Weight Loss,1331,1731.6,-400.5999999999999
42,Male,72.0,165.9,26.15,7.4,Active,2.65,115,505,92,Muscle Gain,3309,2676.984375,632.015625
30,Male,93.6,180.1,28.86,8.1,Active,3.65,112,621,109,Maintenance,3912,3306.1781250000004,605.8218749999996
23,Female,75.5,158.1,30.2,7.8,Moderate,2.7,91,392,71,Maintenance,2573,2274.0437500000003,298.9562499999997
30,Female,60.3,166.6,21.72,6.2,Moderate,2.55,72,313,57,Maintenance,2055,2066.5375,-11.537499999999907
40,Female,58.6,161.0,22.58,7.6,Moderate,2.64,94,337,64,Muscle Gain,2297,1908.4375,388.5625
59,Male,85.0,177.9,26.85,6.9,Sedentary,2.87,102,225,48,Weight Loss,1744,2006.25,-262.25
25,Male,67.0,173.2,22.35,6.7,Sedentary,2.96,80,158,35,Weight Loss,1270,1959.0,-689.0
49,Female,50.8,155.8,20.92,9.6,Sedentary,2.86,61,97,23,Weight Loss,842,1290.9,-448.8999999999999
60,Male,102.5,169.0,35.88,7.8,Active,2.52,123,680,119,Maintenance,4283,3081.28125,1201.71875
40,Female,61.0,172.6,20.45,7.1,Moderate,2.5,73,317,58,Maintenance,2079,2058.0125000000003,20.987499999999727
19,Male,65.2,186.6,18.71,8.2,Sedentary,2.22,78,151,34,Weight Loss,1221,2073.9,-852.9000000000001
30,Male,80.0,172.8,26.77,7.2,Sedentary,3.57,96,206,45,Weight Loss,1611,2082.0,-471.0
55,Male,65.7,170.1,22.7,6.1,Moderate,3.63,79,248,48,Weight Loss,1741,2247.69375,-506.6937499999999
34,Male,72.5,172.1,24.49,5.4,Sedentary,2.73,87,272,53,Maintenance,1915,1962.75,-47.75
26,Male,79.7,170.0,27.56,5.9,Moderate,2.9,127,438,84,Muscle Gain,3017,2688.475,328.5250000000001
57,Female,63.9,167.6,22.74,9.3,Active,2.89,77,424,74,Maintenance,2670,2139.8625,530.1374999999998
54,Female,48.3,170.4,16.62,5.0,Moderate,3.4,58,157,32,Weight Loss,1146,1731.35,-585.3500000000001
36,Male,82.2,191.4,22.44,7.7,Active,2.41,131,569,104,Muscle Gain,3735,3179.6062500000003,555.3937499999997
30,Female,71.5,166.4,25.82,6.8,Moderate,2.25,86,371,68,Maintenance,2437,2238.2000000000003,198.79999999999973
36,Female,72.0,159.5,28.31,7.1,Active,1.13,115,505,92,Muscle Gain,3308,2373.384375,934.615625
19,Male,88.5,180.3,27.25,9.1,Active,3.25,106,494,89,Weight Loss,3201,3315.234375,-114.234375
28,Male,85.3,179.3,26.55,6.7,Moderate,1.97,102,350,67,Weight Loss,2410,2849.86875,-439.8687500000001
64,Female,66.7,164.4,24.68,5.2,Active,1.84,80,443,77,Maintenance,2789,2093.2875,695.7125000000001
28,Female,55.4,173.8,18.34,7.5,Moderate,2.86,66,194,39,Weight Loss,1389,2075.8375,-686.8375000000001
30,Female,68.3,165.4,24.99,5.4,Moderate,2.36,82,261,51,Weight Loss,1830,2178.9125,-348.9124999999999
37,Male,74.8,176.6,23.98,7.0,Sedentary,3.08,120,307,63,Muscle Gain,2275,2006.1,268.9000000000001
33,Male,78.3,168.3,27.64,4.9,Active,2.84,94,520,91,Maintenance,3272,2889.159375,382.8406249999998
36,Female,72.1,158.5,28.68,8.1,Moderate,2.95,87,281,54,Weight Loss,1958,2124.46875,-166.46875
